GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Proj4-CodeCoverage-Jacoco,com.nt.beans,ContactService,0,16,0,0,0,6,0,4,0,4
Proj4-CodeCoverage-Jacoco,com.nit.Proj4_CodeCoverage_Jacoco,App,7,0,0,0,3,0,2,0,2,0
